source_center,destination_center,n_legs,median_ratio,median_actual_min,median_osrm_min,median_osrm_km,major_route_type,shrunk_ratio
IND306116AAA,IND306001AAA,2,2.3429299166409385,188.0,80.5,103.9418,FTL,2.0332253836067813
IND306304AAB,IND311302AAA,1,1.9130434782608696,88.0,46.0,65.1454,FTL,1.9275695305476062
IND306401AAB,IND302014AAA,11,2.0046082949308754,431.0,216.0,302.7314,FTL,1.9782726164595295
IND306401AAB,IND305001AAC,15,2.935483870967742,364.0,123.0,166.96470000000002,Carting,2.7103573317216894
IND306401AAB,IND342005AAD,15,1.6923076923076923,92.0,54.0,69.5512,FTL,1.760217077151798
IND306401AAB,IND343001AAA,3,2.0344827586206895,174.0,87.0,118.6815,FTL,1.9648212790482715
IND307001AAA,IND306902AAA,1,1.3076923076923077,34.0,26.0,34.3051,FTL,1.8410907918949546
IND311001AAA,IND313324AAA,5,1.8461538461538463,120.0,65.0,89.73939999999999,FTL,1.8918829514856006
IND311301AAA,IND305624AAA,3,4.142857142857143,145.0,35.0,47.2019,FTL,2.6676127404604224
IND311302AAA,IND305624AAA,3,7.090909090909091,234.0,33.0,46.4767,FTL,3.6502967231444052
IND312001AAA,IND311001AAA,13,1.565217391304348,72.0,46.0,59.4752,FTL,1.680408911712047
IND312001AAA,IND312601AAA,4,1.3509316770186335,83.0,73.5,62.142300000000006,FTL,1.6983669943646909
IND312403AAA,IND312001AAA,3,1.4025974025974026,108.0,76.0,85.631,FTL,1.7541928270405092
IND312601AAA,IND458664AAA,4,1.2591463414634148,51.0,40.5,36.815349999999995,FTL,1.6616528601426033
IND312605AAB,IND313001AAB,5,2.2481751824817517,308.0,137.0,173.2019,FTL,2.0746199225437394
IND312605AAB,IND458001AAB,7,1.8214285714285714,60.0,32.0,34.3671,FTL,1.8715340950440287
IND313001AAB,IND306401AAB,11,2.0492957746478875,291.0,141.0,189.7273,FTL,2.007188044511714
IND313001AAB,IND311001AAA,1,2.6454545454545455,291.0,110.0,152.546,FTL,2.032199683003846
IND313001AAB,IND312001AAA,13,2.0759493670886076,164.0,79.0,108.4229,FTL,2.0298571056696986
IND313001AAB,IND327001AAB,4,3.377483443708609,510.0,151.0,212.76280000000003,FTL,2.508987701040681
IND313001AAB,IND382430AAB,7,2.141361256544503,409.0,191.0,270.05240000000003,FTL,2.043805540875684
IND313324AAA,IND313001AAB,14,1.7987588652482271,85.5,48.0,65.0061,FTL,1.8381283674523776
IND321001AAA,IND301001AAB,2,6.366408934707904,614.0,96.5,107.21575,FTL,3.039095138123523
IND321001AAA,IND321401AAB,6,1.259485924112607,49.5,38.5,42.0616,FTL,1.5947382316873346
IND321001AAB,IND321001AAA,3,1.3103448275862069,40.0,31.0,32.796699999999994,FTL,1.723441968703444
IND321001AAB,IND321401AAB,1,1.9230769230769231,125.0,65.0,70.37110000000001,FTL,1.9290028798070424
IND321022AAA,IND121004AAB,7,3.180722891566265,264.0,83.0,106.9437,Carting,2.703869703277169
IND321408AAB,IND321606AAA,3,1.8,63.0,35.0,39.8012,FTL,1.8866603595080416
IND321606AAA,IND301001AAB,4,7.695652173913043,531.0,69.0,77.48645,FTL,4.236255193122455
IND321606AAA,IND321001AAA,2,1.8896683673469388,91.5,48.5,54.1109,FTL,1.9199099962832815
IND322201AAA,IND302014AAB,1,1.9438202247191012,173.0,89.0,123.2768,Carting,2.1184380180512066
IND322201AAA,IND303503AAA,9,1.7666666666666666,53.0,30.0,42.7044,Carting,1.9190163934426228
IND322230AAA,IND322241AAA,13,1.6071428571428572,45.0,28.0,32.2703,Carting,1.7777948970787627
IND322241AAA,IND322201AAA,12,2.3363636363636364,53.5,23.0,32.315650000000005,Carting,2.273422752111277
IND327001AAB,IND312605AAB,1,1.4285714285714286,90.0,63.0,89.38239999999999,FTL,1.858359237734829
IND328001AAA,IND000000ACB,1,1.5404040404040404,305.0,198.0,257.5175,FTL,1.8743353251394876
IND328001AAA,IND282002AAD,1,2.696969696969697,178.0,66.0,65.39359999999999,FTL,2.0395589903631532
IND328001AAA,IND474003AAA,6,1.5819696084161308,92.5,58.5,60.5127,FTL,1.7559800738390965
IND331022A1B,IND331001A1C,1,2.6122448979591835,128.0,49.0,60.9205,FTL,2.027455447647365
IND331304AAA,IND332001AAB,2,4.104020979020979,439.5,107.0,133.25195000000002,FTL,2.4734981492017916
IND331507AAA,IND302014AAA,3,2.4011976047904193,401.0,166.0,215.9508,FTL,2.087059561104848
IND331701AAA,IND125001AAA,1,5.484375,351.0,64.0,69.678,FTL,2.43775974793891
IND332001AAB,IND333001AAA,1,1.1754385964912282,67.0,57.0,61.747800000000005,FTL,1.8221974045805145
IND332001AAB,IND333028AAA,2,1.4531046717918392,134.0,92.0,92.28645,FTL,1.8107690723945065
IND332001AAB,IND333031AAA,2,2.267508865248227,215.0,95.0,109.61735,FTL,2.0143701207586036
IND332001AAB,IND333042AAA,11,1.3658536585365855,56.0,39.0,38.3224,FTL,1.5649607929102831
IND332001AAB,IND334001AAB,7,1.65359477124183,253.0,154.0,213.5774,FTL,1.7811620487896296
IND332001AAB,IND334001AAC,2,1.6136363636363638,248.5,154.0,213.71685,FTL,1.8509019953556378
IND332404AAA,IND332001AAB,7,1.4054054054054055,52.0,37.0,51.1163,FTL,1.6475216210315546
IND332713AAA,IND332709AAA,2,3.9489489489489493,144.0,36.5,36.510850000000005,FTL,2.434730141683784
IND332713AAA,IND332715AAB,1,2.061224489795918,101.0,49.0,50.2197,FTL,1.9487382464811847
IND333001AAA,IND333028AAA,1,1.4186046511627908,61.0,43.0,33.366800000000005,FTL,1.856935412390738
IND333028AAA,IND333502AAA,1,1.148936170212766,54.0,47.0,40.769400000000005,FTL,1.8184113436835914
IND333031AAA,IND331023AAA,2,2.982142857142857,83.5,28.0,39.53035,FTL,2.193028618732261
IND333042AAA,IND333031AAA,8,1.608187134502924,119.0,73.5,83.0435,FTL,1.7461028793996978
